20230304	12:51:46	cc992de1-8e9e-4075-a953-9a4ee70c1167	 /	GET
20230304	12:51:46	99f61baa-16a7-41bc-9c8d-7f7c906ca0ed	 /css/style.css	GET
20230304	12:52:16	0b61a0fb-f3e5-4cb4-8cee-e420d8d2916b	 /new-page.html	GET
20230304	12:52:16	6c5aaab8-fb67-44ca-afc2-2cabef1d0e88	 /css/style.css	GET
20230304	12:52:16	3c93da66-95e5-4298-92cc-d2c094a93a8c	 /img/img1.jpg	GET
20230304	21:16:16	0f1422fe-4aa1-485a-a22f-6b31f6abf623	 GET	undefined	/
20230304	21:16:16	9bd62c68-88b8-4e15-a37e-fd5651dbbb3c	 GET	undefined	/css/style.css
20230304	21:19:25	d50d079b-dbe7-4323-8fa8-717b52abdf9e	 GET	undefined	/
20230304	21:19:25	60b91af9-3959-46d9-985c-9f63ec5b783f	 GET	undefined	/css/style.css
20230304	21:24:37	e07cfb7f-3785-4e45-a801-d06e53f09d1a	 OPTIONS	undefined	/
20230304	21:24:37	6ad9051b-0950-45d2-813b-8c8b87f77b6b	 GET	undefined	/
20230304	21:32:55	438edd47-e630-40c1-8310-aebd97d44d05	 OPTIONS	undefined	/
20230304	21:32:55	9b37944d-7386-4459-a6d1-6cd7ad1a718c	 GET	undefined	/
20230304	21:33:36	ccaaefa3-9e82-4357-b013-ea8ce3d117d1	 OPTIONS	undefined	/
20230304	21:33:36	861914da-0a14-40d8-a93f-a8e7ee60e11e	 GET	undefined	/
20230304	21:34:00	d9026ec2-a119-4142-9566-2709248b628c	 OPTIONS	undefined	/
20230304	21:34:00	0fcab6b7-eb80-4128-9ff2-8aeeb4b7c162	 GET	undefined	/
20230304	21:34:17	a6645c4f-4cdb-4805-b931-143e7d995d36	 OPTIONS	undefined	/
20230304	21:34:17	eeaffa1f-2bf6-4297-9085-0b4d940a3bfd	 GET	undefined	/
20230304	21:38:19	53ac3144-f732-4e34-9095-4b4e93a88745	 GET	undefined	/
20230304	21:39:57	4b6882f7-bce7-40b3-a466-e63d37002d9c	 GET	undefined	/
20230304	21:39:57	ee63c1d0-d6b3-43a6-a72f-8df532dc532f	 GET	undefined	/css/style.css
20230304	21:44:14	51defecd-d9ed-4344-bed0-d127b2ed4add	 GET	undefined	/
20230304	21:46:15	46785d3f-e5d0-4f35-9eb0-1aac014e4ebd	 GET	undefined	/
20230304	21:46:15	180281d7-ab8b-45ec-bc94-e048adee5a1d	 GET	undefined	/css/style.css
20230304	21:46:18	9629479f-7add-4aaa-bcee-beb1e794d0d0	 GET	undefined	/data/data.json
20230304	21:46:18	0ffdde30-68ea-4c2d-b460-a818071ada8a	 GET	undefined	/data/css/style.css
20230304	21:46:21	fcbfba8f-49b6-44c9-acd3-27c91f211006	 GET	undefined	/d
20230304	21:46:21	c8ea03ec-e186-41f6-9d86-577185d1916c	 GET	undefined	/css/style.css
20230304	21:49:08	4d204140-0f9b-423a-9b3b-4c1d5c0991d3	 GET	undefined	/dave
20230304	21:49:08	49ac000b-d772-4c18-a1eb-3b8e81976dfd	 GET	undefined	/css/style.css
20230304	21:49:16	c2f30360-48b6-4d71-904b-05f49f933339	 GET	undefined	/dave.txt
20230304	21:49:16	eeef143a-de6d-40ca-9216-66194772186c	 GET	undefined	/css/style.css
20230304	21:49:33	e8446801-70f3-4946-8400-6bd0c3dc3ee8	 GET	undefined	/
20230304	21:49:33	27f05d73-ca95-4c9f-811e-ef73bc08de1d	 GET	undefined	/css/style.css
20230304	21:57:06	a16cbfba-c58d-4a3a-a307-f4acd1ef8456	 GET	undefined	/
20230304	21:57:06	89608b2a-18b5-4cd6-81a1-93ec83b459b9	 GET	undefined	/css/style.css
20230304	21:57:13	1de7eb8d-ca56-41c9-922e-b3e944d73651	 GET	undefined	/subdir/
20230304	21:57:14	81b3aa04-aaac-49ae-9a3c-2e71950643e6	 GET	undefined	/subdir/css/style.css
20230304	21:57:30	c4589bca-a1d6-42c6-b651-059e7981f42b	 GET	undefined	/subdir/
20230304	21:57:30	a1ddff68-27f9-4f1d-8509-4e000b547fc7	 GET	undefined	/subdir/css/style.css
20230304	21:57:33	5f513731-f73f-442a-9c70-6160100ca42d	 GET	undefined	/subdir
20230304	21:57:33	2069354d-add4-47eb-af3a-5124516f96a2	 GET	undefined	/css/style.css
20230304	22:01:06	e25b01e8-c505-4580-ab3a-27f8a1795168	 GET	undefined	/subdir
20230304	22:01:06	addeba4b-711d-4017-9435-2a9214959487	 GET	undefined	/css/style.css
20230304	22:01:11	a6228aa1-7756-41d3-b0b2-5dfa4cf03f62	 GET	undefined	/subdir/
20230304	22:01:11	7ef856bf-634a-40b2-84b5-844234509b35	 GET	undefined	/subdir/css/style.css
20230304	22:01:14	e157be56-e563-4fad-83e0-cb362b82a6ed	 GET	undefined	/subdir
20230304	22:01:14	3c323d88-bef5-40a8-9dbc-a5c4f4443d32	 GET	undefined	/css/style.css
